Campus Entrance (Main),36.977639,-122.053681,10͵ 16͵ 20͵ 22͵ Loop
Campus Entrance (Barn Theater),36.977324,-122.054309,15͵ 19͵ Loop
Lower Campus (Inner),36.981564,-122.052113,15͵ 19͵ Loop
Lower Campus (Outer),36.981367,-122.051938,10͵ 16͵ 20͵ 22͵ Loop
Village and the Farm (Inner),36.985539,-122.053559,15͵ 19͵ Loop
Village and the Farm (Outer),36.98592,-122.053538,10͵ 16͵ 20͵ 22͵ Loop
East Remote Parking (Inner),36.991278,-122.054897,15͵ 19͵ Loop͵ UC
East Remote Parking (Outer),36.991321,-122.054666,10͵ 16͵ 20͵ 22͵ Loop͵ UC
East Field House,36.99426,-122.055513,10͵ 16͵ 20͵ 22͵ Loop͵ UC
Cowell & Stevenson (Inner),36.996667,-122.05542,15͵ 19͵ Loop͵ UC
Cowell & Stevenson (Outer),36.997502,-122.055061,10͵ 16͵ 20͵ 22͵ Loop͵ UC
Crown & Merrill,36.999011,-122.055177,10͵ 16͵ 20͵ 22͵ Loop͵ UC
College 9 & 10 (Inner),36.99977,-122.05831,15͵ 19͵ Loop͵ UC
College 9 & 10 (Outer),36.999937,-122.058317,10͵ 16͵ 20͵ 22͵ Loop͵ UC
Science Hill (Inner),36.999856,-122.06217,15͵ 19͵ Loop͵ UC
Science Hill (Outer),36.999972,-122.062331,10͵ 16͵ 20͵ 22͵ Loop͵ UC
Kresge (Inner),36.999218,-122.064337,15͵ 19͵ Loop͵ UC
Kresge (Outer),36.999295,-122.064552,10͵ 16͵ 20͵ 22͵ Loop͵ UC
Rachel Carson & Porter (Inner),36.992804,-122.064853,15͵ 19͵ Loop͵ UC
Rachel Carson & Porter (Outer),36.992997,-122.065203,10͵ 16͵ 20͵ 22͵ Loop͵ UC
Family Student Housing,36.991789,-122.066807,10͵ 16͵ 20͵ 22͵ Loop͵ UC
Oakes (Inner),36.990606,-122.066094,15͵ 19͵ Loop͵ UC
Oakes (Outer),36.989943,-122.067201,10͵ 16͵ 20͵ 22͵ Loop͵ UC
Arboretum (Inner),36.98279,-122.062719,15͵ 19͵ Loop
Arboretum (Outer),36.983686,-122.064934,10͵ 16͵ 20͵ 22͵ Loop
Tosca Terrace,36.979893,-122.059326,10͵ 16͵ 20͵ 22
High and Western (Inner),36.978821,-122.057724,15͵ 19͵ Loop
High and Western (Outer),36.978641,-122.057833,10͵ 16͵ 20͵ 22͵ Loop
Thimann Labs,36.997549,-122.061879,
Kerr Hall Bridge,36.99671,-122.063579,15͵ 19͵ Loop͵ UC
McHenry Library,36.996449,-122.058766,
Quarry Plaza,36.997416,-122.055597,
Media Theater,36.99494,-122.061463,
Recital Hall,36.993219,-122.061066,
West Remote Lot Interior,36.988531,-122.064789,UC
Porter Circle,36.994364,-122.064698,
Oakes Circle,36.990227,-122.063312,
Social Sciences 2,37.00132,-122.058774,
Cowell Circle,36.997708,-122.053433,
Crown Circle,37.000451,-122.0547,
Core West,36.999252,-122.063068,
East Remote Lot Interior,36.990742,-122.052109,UC
Kerr Hall,36.996313,-122.061632,
